24
0|Alalalla|River|0|0|0|0|1|1|10000|0|0
1|Gwr|River|0|0|0|0|1|1|10000|0|0
2|River|River|0|0|0|0|1|1|10000|0|0
3|River Rive|River|0|0|0|0|1|1|10000|0|0
4|River River|River|0|0|0|0|1|1|10000|0|0
5|Volg|River|0|0|0|0|3530|100000|10000|0|0
6|Volga|River|0|0|0|0|3530|100000|10000|0|0
7|Volga 1|River|0|0|0|0|3530|1360000|0|0|0
8|Volga 1|River|0|0|0|0|3530|1360000|0|0|0
9|Volga 2|River|0|0|0|0|3530|1360000|0|0|0
10|Volga 3|River|0|0|0|0|3530|1360000|0|0|0
11|Volga 3|River|0|0|0|0|3530|100000|10000|0|0
12|Volga 3|River|0|0|0|0|3530|1360000|0|0|0
13|Volga 6|River|0|0|0|0|3530|1360000|0|0|0
14|Volga 7|River|0|0|0|0|3530|1360000|0|0|0
15|Volga 7|River|0|0|0|0|3530|1360000|0|0|0
16|Volga 8|River|0|0|0|0|3530|1360000|0|0|0
17|Volga 8|River|0|0|0|0|3530|1360000|0|0|0
18|Volga 9|River|0|0|0|0|3530|1360000|0|0|0
19|Volga 9|River|0|0|0|0|3530|1360000|0|0|0
20|Volga V|River|0|0|0|0|3530|100000|10000|0|0
21|Volga Vol|River|0|0|0|0|3530|100000|10000|0|0
22|Volga Volg|River|0|0|0|0|3530|100000|10000|0|0
23|Volga Volga|River|0|0|0|0|3530|100000|10000|0|0
